S	Y	X
s1	1	-0.846378124454617	-0.376942587626899
s2	2	-0.141167601428741	0.579084995151404
s3	3	0.577469114486852	2.29119556426707
s4	4	-2.19423701225561	-2.15968092936673
s5	5	0.352408671960983	0.521509507470131
s6	6	-1.01392056512296	-0.0963295833742132
s7	7	-0.413798894760091	0.0491766263147959
s8	8	-1.64521642482963	-2.21214149637134
s9	9	0.157267761859527	-1.09645113104608
s10	10	1.50876652293771	0.974720572214715
s11	11	0.331267767307495	-0.632136441676598
s12	12	0.594109134418489	1.06564968516405
s13	13	-0.332338898940573	1.21577061334961
s14	14	0.0241633588637209	-0.180925053478681
s15	15	-0.272355836819886	0.115723024532201
s16	16	-0.505813017857269	-0.869015129867421
s17	17	0.516429778078141	0.458036102443723
s18	18	-0.300099422025509	0.675578869241587
s19	19	0.923804606326829	0.0972089652338732
s20	20	0.768020477700275	1.03738087242257
s21	21	0.420793784739843	0.348480672551107
s22	22	0.890934056922683	-0.492962276026165
s23	23	-0.0505997916980792	-0.66862940198318
s24	24	1.51104794621051	-0.685597331459065
s25	25	2.5197446010094	1.41672616640436
s26	26	0.675389991111127	-0.599017328090997
s27	27	0.432315205941895	-0.457062621893417
s28	28	0.234631175272774	-1.21828430648832
s29	29	-0.153001068742268	-0.3238992381334
s30	30	-0.901562087940596	-0.956968395084412
s31	31	-1.17528706507299	-1.11206678483808
s32	32	-0.625045588628484	0.349171126734062
s33	33	0.2202720563338	-0.436172847943157
s34	34	0.228322252813893	0.538285397968846
s35	35	0.738991385300364	0.611730605304339
s36	36	-0.0685068226040692	-0.643903852938118
s37	37	-0.151219261959632	-1.36180263888111
s38	38	-0.504665040348325	0.499367577484918
s39	39	-0.664651967365986	-0.647043316395206
s40	40	-1.62265506162791	-0.861638094432168
s41	41	-0.517850757163634	1.67850561497014
s42	42	-0.549481220823309	1.05339621637075
s43	43	-0.605159729287511	-1.08826559624506
s44	44	-1.26574104251032	0.974898537347967
s45	45	-1.94288487993201	-1.41183656681175
s46	46	2.46316947414679	0.807909819606107
s47	47	0.0178762373071573	1.29478826531978
s48	48	1.88796380954511	1.2864212174249
s49	49	0.468478013604637	0.648056335158567
s50	50	-3	3
