S	Y	X
s1	1	0.150212874587139	-0.0163320516712465
s2	2	0.120198608057501	0.446629402919546
s3	3	2.71280875946038	2.86202090080996
s4	4	-0.993571025800673	-1.56025904597569
s5	5	1.12757457124367	0.919124926173544
s6	6	0.472253157523746	0.360117106024651
s7	7	1.26386342477467	0.817340114543235
s8	8	-1.11930007534577	-1.73940649019171
s9	9	-1.70307300323971	-1.64750211870402
s10	10	-0.0390525109442598	0.367188650489141
s11	11	-0.682909073194618	-0.808515259055452
s12	12	0.932026085113124	1.10271839424496
s13	13	0.605447768009621	1.13455428615198
s14	14	0.203517791561106	0.0124927603793511
s15	15	0.452675328512088	0.374779130303354
s16	16	-0.716299220084386	-0.855252883015127
s17	17	0.552049502019153	0.529521446954321
s18	18	-0.411258651873507	0.223298858279309
s19	19	-0.557611038230523	-0.378211337971203
s20	20	0.121417169462897	0.598759135417611
s21	21	-0.693728736073492	-0.234887742982772
s22	22	-0.337701002281714	-0.604470095920815
s23	23	-1.69808117736257	-1.35766230819802
s24	24	-2.48769907954247	-2.03407340672
s25	25	-0.237672719600146	0.381329102357396
s26	26	-0.7625839099259	-0.881445047732736
s27	27	-0.59481593156279	-0.666415816514465
s28	28	-0.475498229855418	-1.0306940127352
s29	29	0.568105101622683	0.158782746099293
s30	30	0.569313144952755	-0.119636236546485
s31	31	0.232811994939944	-0.367734484396459
s32	32	0.018803037469314	0.316581342502058
s33	33	-0.324768729480243	-0.470359196202998
s34	34	-0.303065262718667	0.129351818804518
s35	35	0.222835306470527	0.403648867766115
s36	36	-0.308030748006812	-0.546438142208447
s37	37	-0.0832901373630703	-0.840197083935347
s38	38	0.829499944570524	0.85365632087679
s39	39	1.11833064830573	0.348391180507306
s40	40	0.481087257060484	-0.0130709354859114
s41	41	1.51393809047605	1.95836239520432
s42	42	0.987051644722506	1.28435714233524
s43	43	0.829618800769904	-0.091116809282626
s44	44	2.16415807038608	2.00789237692932
s45	45	-2.48856661944709	-1.99707330352323
s46	46	0.308450463842321	0.333371345292726
s47	47	-0.844730999106939	0.305837477322039
s48	48	0.115742287605663	0.591546194043333
s49	49	-0.509843175513333	0.0444516458043838
s50	50	-0.300639776965476	-0.605351259565849
